Entity,Code,Year,ag_land_index,labor_index,food_supply_per_capita
India,IND,2002,95.7001,112.8501,5.332979
India,IND,2003,96.0323,114.0405,6.52896
India,IND,2004,96.4776,114.969,6.2164936
India,IND,2005,96.8161,116.2911,6.8430753
India,IND,2006,97.0838,115.2481,6.71907
India,IND,2007,97.3342,114.0559,6.888172
India,IND,2008,97.7384,113.5435,6.5024576
India,IND,2009,98.6742,111.7822,5.87463
India,IND,2010,98.5077,110.2986,7.4119716
India,IND,2011,98.6132,105.6466,6.6112237
India,IND,2012,99.6832,101.0207,6.7138166
India,IND,2013,99.8132,100.8724,7.122777
India,IND,2014,99.9188,100.5051,6.511471
India,IND,2015,100,100,7.9627266
India,IND,2016,100.0656,99.3161,7.608891
India,IND,2017,100.1639,98.6994,7.5227904
India,IND,2018,100.1639,98.044,7.854989
India,IND,2019,100.1639,97.8549,7.537905
Mexico,MEX,1961,80.4756,66.263,128.13997
Mexico,MEX,1962,80.1311,66.9669,126.26042
Mexico,MEX,1963,80.0029,66.8424,127.057144
Mexico,MEX,1964,79.9069,67.3746,125.06352
Mexico,MEX,1965,79.7787,67.5439,126.51808
Mexico,MEX,1966,79.6666,68.2165,125.09141
Mexico,MEX,1967,79.5222,68.7401,127.37004
Mexico,MEX,1968,79.4916,69.2894,131.46175
Mexico,MEX,1969,79.4932,69.7698,131.55917
Mexico,MEX,1970,76.2921,70.4092,127.26147
Mexico,MEX,1971,76.6796,73.4571,126.82932
Mexico,MEX,1972,77.2821,73.5945,124.476135
Mexico,MEX,1973,77.8014,76.3779,124.055435
Mexico,MEX,1974,78.0774,74.7125,123.48048
Mexico,MEX,1975,78.5314,77.9597,124.15853
Mexico,MEX,1976,79.2802,76.2562,125.06583
Mexico,MEX,1977,79.6116,82.2618,125.51702
Mexico,MEX,1978,79.8476,82.3565,126.012535
Mexico,MEX,1979,79.3743,79.9825,125.19598
Mexico,MEX,1980,80.1086,81.8963,122.46927
